Id,Id2,Geography,Pop,Moe
1400000US35015000200,35015000200,"Census Tract 2, Eddy County, New Mexico",5082,452
1400000US35015000300,35015000300,"Census Tract 3, Eddy County, New Mexico",5602,411
1400000US35015000401,35015000401,"Census Tract 4.01, Eddy County, New Mexico",3753,381
1400000US35015000402,35015000402,"Census Tract 4.02, Eddy County, New Mexico",4309,381
1400000US35015000500,35015000500,"Census Tract 5, Eddy County, New Mexico",3303,292
1400000US35015000600,35015000600,"Census Tract 6, Eddy County, New Mexico",5021,568
1400000US35015000700,35015000700,"Census Tract 7, Eddy County, New Mexico",5990,549
1400000US35015000800,35015000800,"Census Tract 8, Eddy County, New Mexico",2335,293
1400000US35015000900,35015000900,"Census Tract 9, Eddy County, New Mexico",4832,529
1400000US35015001000,35015001000,"Census Tract 10, Eddy County, New Mexico",6278,777
1400000US35015001100,35015001100,"Census Tract 11, Eddy County, New Mexico",6634,710
1400000US35017964100,35017964100,"Census Tract 9641, Grant County, New Mexico",2294,444
1400000US35017964200,35017964200,"Census Tract 9642, Grant County, New Mexico",2075,295
1400000US35017964300,35017964300,"Census Tract 9643, Grant County, New Mexico",6598,512
1400000US35017964400,35017964400,"Census Tract 9644, Grant County, New Mexico",4352,477
1400000US35017964500,35017964500,"Census Tract 9645, Grant County, New Mexico",2563,349
1400000US35017964600,35017964600,"Census Tract 9646, Grant County, New Mexico",3333,413
1400000US35017964700,35017964700,"Census Tract 9647, Grant County, New Mexico",6253,534
1400000US35017964800,35017964800,"Census Tract 9648, Grant County, New Mexico",1835,250
1400000US35019961600,35019961600,"Census Tract 9616, Guadalupe County, New Mexico",4594,*****
1400000US35021000100,35021000100,"Census Tract 1, Harding County, New Mexico",655,112
1400000US35023970000,35023970000,"Census Tract 9700, Hidalgo County, New Mexico",2089,163
1400000US35023970200,35023970200,"Census Tract 9702, Hidalgo County, New Mexico",2645,163
1400000US35025000100,35025000100,"Census Tract 1, Lea County, New Mexico",2895,416
1400000US35025000200,35025000200,"Census Tract 2, Lea County, New Mexico",3422,406
1400000US35025000300,35025000300,"Census Tract 3, Lea County, New Mexico",4058,497
1400000US35025000400,35025000400,"Census Tract 4, Lea County, New Mexico",3469,512
1400000US35025000502,35025000502,"Census Tract 5.02, Lea County, New Mexico",6476,451
1400000US35025000503,35025000503,"Census Tract 5.03, Lea County, New Mexico",3668,462
1400000US35025000504,35025000504,"Census Tract 5.04, Lea County, New Mexico",3544,348
1400000US35025000600,35025000600,"Census Tract 6, Lea County, New Mexico",6827,611
1400000US35025000701,35025000701,"Census Tract 7.01, Lea County, New Mexico",1617,268
1400000US35025000702,35025000702,"Census Tract 7.02, Lea County, New Mexico",3450,426
1400000US35025000703,35025000703,"Census Tract 7.03, Lea County, New Mexico",2773,348
1400000US35025000704,35025000704,"Census Tract 7.04, Lea County, New Mexico",2811,389
1400000US35025000800,35025000800,"Census Tract 8, Lea County, New Mexico",3291,123
1400000US35025000900,35025000900,"Census Tract 9, Lea County, New Mexico",2215,296
1400000US35025001003,35025001003,"Census Tract 10.03, Lea County, New Mexico",4313,448
1400000US35025001004,35025001004,"Census Tract 10.04, Lea County, New Mexico",3809,469
1400000US35025001005,35025001005,"Census Tract 10.05, Lea County, New Mexico",3756,511
1400000US35025001100,35025001100,"Census Tract 11, Lea County, New Mexico",4482,404
1400000US35027960200,35027960200,"Census Tract 9602, Lincoln County, New Mexico",1566,227
1400000US35027960300,35027960300,"Census Tract 9603, Lincoln County, New Mexico",2420,324
1400000US35027960400,35027960400,"Census Tract 9604, Lincoln County, New Mexico",7296,459
1400000US35027960600,35027960600,"Census Tract 9606, Lincoln County, New Mexico",6544,609
1400000US35027960800,35027960800,"Census Tract 9608, Lincoln County, New Mexico",2336,448
1400000US35028000100,35028000100,"Census Tract 1, Los Alamos County, New Mexico",3750,201
1400000US35028000200,35028000200,"Census Tract 2, Los Alamos County, New Mexico",4978,348
1400000US35028000400,35028000400,"Census Tract 4, Los Alamos County, New Mexico",3269,250
1400000US35028000500,35028000500,"Census Tract 5, Los Alamos County, New Mexico",5977,308
1400000US35029000100,35029000100,"Census Tract 1, Luna County, New Mexico",5024,551
1400000US35029000200,35029000200,"Census Tract 2, Luna County, New Mexico",4365,427
1400000US35029000300,35029000300,"Census Tract 3, Luna County, New Mexico",2842,289
1400000US35029000400,35029000400,"Census Tract 4, Luna County, New Mexico",5370,452
1400000US35029000500,35029000500,"Census Tract 5, Luna County, New Mexico",4722,634
1400000US35029000600,35029000600,"Census Tract 6, Luna County, New Mexico",2624,373
1400000US35031940300,35031940300,"Census Tract 9403, McKinley County, New Mexico",9576,1066
